Date,Calories.Burned,Steps,Distance,Floors,Minutes.Sedentary,Minutes.Lightly.Active,Minutes.Fairly.Active,Minutes.Very.Active,Activity.Calories,Minutes.Asleep,Minutes.Awake,Number.of.Awakenings,Time.in.Bed
2016-01-01,3133,13241,6.23,37,486,318,41,16,1769,520,23,14,549
2016-01-02,4356,22617,11.26,45,379,214,128,140,3125,492,35,21,529
2016-01-03,3282,13644,6.4,31,575,294,50,47,1940,432,32,16,464
2016-01-04,3270,14494,7.45,16,709,185,23,71,1742,440,34,17,474
2016-01-05,3244,12827,6.2,32,641,246,59,41,1831,234,37,19,271
2016-01-06,3530,16930,8.65,29,566,180,38,100,2084,452,73,30,525
2016-01-07,3495,16366,7.78,35,614,222,77,63,2098,466,33,19,499
2016-01-08,3764,15117,7.86,18,653,203,52,98,2320,278,4,5,283
2016-01-09,2965,8171,3.83,21,638,280,18,7,1430,282,7,5,289
2016-01-10,2825,8702,4.08,21,491,255,16,8,1314,497,15,12,512
2016-01-11,3290,14149,7.2,18,658,292,19,37,1858,414,48,24,466
2016-01-12,2877,8542,4.01,18,724,276,17,3,1379,420,17,12,441
2016-01-13,3446,15022,7.63,27,616,262,38,48,1976,389,28,18,419
2016-01-14,2858,8643,4.06,16,693,304,0,0,1351,447,29,17,478
2016-01-15,3274,14293,7.34,27,734,275,16,43,1804,424,8,4,432
2016-01-16,3724,18463,9.45,26,602,306,46,57,2398,427,15,12,442
2016-01-17,2996,10974,5.16,24,594,272,22,24,1534,459,26,16,485
2016-01-18,2905,10314,4.85,20,772,252,24,14,1398,436,37,20,473
2016-01-19,3590,13884,7.1,28,695,180,65,85,2156,327,10,7,338
2016-01-20,3327,12312,6.1,37,712,218,38,56,1826,436,57,26,493
2016-01-21,3135,8459,3.97,10,693,302,1,10,1390,313,16,12,329
2016-01-22,2651,7941,3.74,5,817,182,16,34,1112,430,38,19,469
2016-01-23,3233,9755,4.58,31,629,231,38,59,1813,393,25,16,422
2016-01-24,3578,10863,5.1,44,444,273,95,51,2241,533,31,17,564
2016-01-25,3729,15807,7.96,31,661,271,54,69,2333,392,17,11,412
2016-01-26,3297,9850,4.62,25,656,300,39,19,1772,292,25,15,318
2016-01-27,2958,12336,6.33,23,691,231,10,34,1449,484,20,8,504
2016-01-28,3222,12745,6.53,14,677,234,17,46,1730,455,10,8,469
2016-01-29,3455,14736,7.73,8,662,228,36,68,1979,439,23,16,468
2016-01-30,3470,14347,6.82,29,479,419,37,9,2166,595,28,13,623
2016-01-31,3397,15043,7.06,43,486,243,121,31,2062,424,61,24,485
2016-02-01,3482,15037,7.84,16,634,169,52,90,2025,440,13,10,455
2016-02-02,3207,9457,4.45,29,670,246,30,41,1738,471,17,11,488
2016-02-03,3100,12117,6.27,30,681,196,25,47,1570,427,30,13,457
2016-02-04,2983,8702,4.08,8,655,202,30,53,1493,470,31,13,501
2016-02-05,3399,15104,8.02,16,725,207,15,73,1886,469,34,18,503
2016-02-06,3164,13117,6.15,21,523,278,63,26,1792,536,28,14,564
2016-02-07,3225,11636,5.46,22,515,380,24,11,1869,408,20,14,429
